
        ************************************************** 
        *****      Prediction for BIW RoofCrush      ***** 
        *****             SUNGHUN, CHANG             ***** 
        *****       TensorFlow version : 1.7.0       ***** 
        ************************************************** 
                  RUN DATE : 2018-06-02 19:46:38


        ** Default PATH : ./
        ** TRAIN : ./dataset\20180430_RC_Populated_DATA_Isolated_Train_Random.csv
        ** TEST : ./dataset\IsolatedTEST_20180430_Random.csv

         -- Number of DNN Models     : 4
         -- Number of Train Epoch    : 1
         -- Train DATA Batch Size    : 32
         -- Train DATA Shuffle Count : 256
         -- Check Point File Count   : 10
         -- Check Point Saving / Custom Logging Every 1000 Steps
         -- Display Weight and Bias  : True


MODEL #1 TRAINING IS DONE NORMALLY
MODEL #2 TRAINING IS DONE NORMALLY
MODEL #3 TRAINING IS DONE NORMALLY
MODEL #4 TRAINING IS DONE NORMALLY

*********************************
Evaluation results of 1st MODEL
   loss ---> 7.8550310134887695
   accuracy ---> 1.0
   rmse ---> 2.802682876586914
   global_step ---> 12
*********************************

*********************************
Evaluation results of 1st MODEL
   loss ---> 8.375514030456543
   accuracy ---> 1.0
   rmse ---> 2.894047975540161
   global_step ---> 12
*********************************

*********************************
Evaluation results of 1st MODEL
   loss ---> 19.775001525878906
   accuracy ---> 1.0
   rmse ---> 4.446909427642822
   global_step ---> 12
*********************************

*********************************
Evaluation results of 1st MODEL
   loss ---> 5.641931533813477
   accuracy ---> 1.0
   rmse ---> 2.375275135040283
   global_step ---> 12
*********************************

 ***** Prediction on test file ***** 
 *****        1st MODEL        ***** 
1	SMALL	2.0	3.1	2.2	2.2	3.2	3.1	3.8	3.8	0.6	3.8	4.6	7.8	 Index ---> 0.18
2	SMALL	3.9	2.9	6.2	4.2	4.2	6.0	5.1	5.1	6.8	4.6	5.7	11.9	 Index ---> 0.25
3	RV   	5.9	5.4	5.5	6.2	5.6	7.2	8.0	6.8	3.7	4.8	9.3	12.3	 Index ---> 0.73
4	SMALL	5.8	5.0	5.3	5.4	5.1	5.1	7.5	8.8	2.9	8.4	9.4	10.6	 Index ---> 0.48
5	RV   	11.1	10.1	10.5	12.7	12.6	19.1	12.8	3.7	4.1	6.7	9.1	13.2	 Index ---> 1.21
6	MID  	2.8	2.2	5.4	4.7	5.1	4.1	4.9	5.8	1.6	5.7	8.4	11.5	 Index ---> 0.42
7	MID  	21.8	8.4	10.1	10.9	6.3	6.3	8.1	8.1	2.0	11.2	12.3	24.4	 Index ---> 0.76
8	SMALL	3.3	2.6	4.6	4.3	4.6	4.6	5.5	5.6	0.5	4.9	7.0	12.3	 Index ---> 0.40
9	RV   	5.1	3.0	4.0	3.6	2.6	3.5	3.7	4.0	2.9	3.6	7.6	12.1	 Index ---> 0.38
10	RV   	5.4	4.7	4.7	4.1	4.6	6.6	5.0	5.8	6.4	6.2	7.7	13.2	 Index ---> 0.47
11	RV   	10.9	9.9	10.7	13.0	12.5	19.5	12.9	3.8	4.2	6.6	9.1	13.1	 Index ---> 1.23
12	RV   	5.3	4.9	6.7	5.6	4.2	7.8	9.4	8.0	3.8	5.7	5.9	10.2	 Index ---> 0.57
13	MID  	4.3	3.9	7.1	5.9	6.9	5.6	7.0	7.9	7.0	10.1	11.4	14.1	 Index ---> 0.30
14	SMALL	3.2	2.7	4.4	4.5	4.6	4.7	5.5	5.6	0.5	4.9	6.9	12.5	 Index ---> 0.37
15	RV   	5.7	6.0	6.4	8.0	7.6	13.1	14.1	3.4	2.7	3.8	4.2	9.8	 Index ---> 0.94
16	MID  	3.7	4.2	4.1	3.7	3.9	4.0	4.5	3.8	3.6	6.0	6.0	8.3	 Index ---> 0.17
17	RV   	3.8	2.9	2.9	3.8	4.5	6.5	8.4	4.6	2.5	4.2	4.6	8.0	 Index ---> 0.44
18	RV   	5.4	5.0	6.8	5.6	4.1	7.7	9.6	7.9	3.9	5.6	5.9	10.5	 Index ---> 0.56
19	RV   	3.7	2.9	2.9	3.8	4.5	6.5	8.3	4.6	2.4	4.2	4.5	8.2	 Index ---> 0.44
20	MID  	6.2	6.0	10.2	4.9	6.3	5.5	8.9	6.8	2.1	7.3	12.7	19.1	 Index ---> 0.56
21	RV   	5.4	4.9	6.8	5.7	4.0	7.5	9.6	7.9	3.9	5.7	5.8	10.6	 Index ---> 0.55
22	RV   	5.3	3.1	4.2	3.6	2.6	3.5	3.7	4.1	2.9	3.6	7.4	11.9	 Index ---> 0.38
23	RV   	5.6	5.3	5.5	6.4	5.4	7.3	8.3	6.9	3.7	4.9	9.1	12.6	 Index ---> 0.71
24	RV   	5.2	3.1	4.2	3.6	2.6	3.6	3.9	4.0	2.9	3.7	7.5	11.8	 Index ---> 0.39
25	MID  	7.5	5.6	5.6	5.5	4.1	6.9	5.7	6.9	1.8	5.3	6.7	13.1	 Index ---> 0.76
26	MID  	2.8	2.1	5.4	4.8	4.9	4.2	5.1	5.9	1.6	5.8	8.3	11.6	 Index ---> 0.42
27	RV   	9.9	11.6	13.2	24.8	5.0	1.7	2.2	2.1	2.1	6.4	9.0	12.7	 Index ---> 0.10
28	RV   	6.3	4.1	4.9	4.8	3.3	3.6	5.0	4.8	1.8	3.9	5.7	8.4	 Index ---> 0.40
29	MID  	5.5	5.0	7.3	7.7	5.7	7.7	9.9	6.3	2.1	8.0	11.1	15.1	 Index ---> 0.60
30	SMALL	6.6	5.0	5.1	5.9	5.0	5.0	20.3	8.3	3.2	7.9	10.4	16.8	 Index ---> 0.86
31	RV   	10.9	10.1	10.6	12.8	12.8	19.2	13.1	3.7	4.1	6.7	9.2	13.1	 Index ---> 1.23

 ***** Prediction on test file ***** 
 *****        2st MODEL        ***** 
1	SMALL	2.0	3.1	2.2	2.2	3.2	3.1	3.8	3.8	0.6	3.8	4.6	7.8	 Index ---> 0.42
2	SMALL	3.9	2.9	6.2	4.2	4.2	6.0	5.1	5.1	6.8	4.6	5.7	11.9	 Index ---> 0.28
3	RV   	5.9	5.4	5.5	6.2	5.6	7.2	8.0	6.8	3.7	4.8	9.3	12.3	 Index ---> 0.42
4	SMALL	5.8	5.0	5.3	5.4	5.1	5.1	7.5	8.8	2.9	8.4	9.4	10.6	 Index ---> 1.17
5	RV   	11.1	10.1	10.5	12.7	12.6	19.1	12.8	3.7	4.1	6.7	9.1	13.2	 Index ---> -0.62
6	MID  	2.8	2.2	5.4	4.7	5.1	4.1	4.9	5.8	1.6	5.7	8.4	11.5	 Index ---> 0.67
7	MID  	21.8	8.4	10.1	10.9	6.3	6.3	8.1	8.1	2.0	11.2	12.3	24.4	 Index ---> 0.81
8	SMALL	3.3	2.6	4.6	4.3	4.6	4.6	5.5	5.6	0.5	4.9	7.0	12.3	 Index ---> 0.59
9	RV   	5.1	3.0	4.0	3.6	2.6	3.5	3.7	4.0	2.9	3.6	7.6	12.1	 Index ---> 0.33
10	RV   	5.4	4.7	4.7	4.1	4.6	6.6	5.0	5.8	6.4	6.2	7.7	13.2	 Index ---> 0.53
11	RV   	10.9	9.9	10.7	13.0	12.5	19.5	12.9	3.8	4.2	6.6	9.1	13.1	 Index ---> -0.64
12	RV   	5.3	4.9	6.7	5.6	4.2	7.8	9.4	8.0	3.8	5.7	5.9	10.2	 Index ---> 0.78
13	MID  	4.3	3.9	7.1	5.9	6.9	5.6	7.0	7.9	7.0	10.1	11.4	14.1	 Index ---> 1.02
14	SMALL	3.2	2.7	4.4	4.5	4.6	4.7	5.5	5.6	0.5	4.9	6.9	12.5	 Index ---> 0.57
15	RV   	5.7	6.0	6.4	8.0	7.6	13.1	14.1	3.4	2.7	3.8	4.2	9.8	 Index ---> -0.00
16	MID  	3.7	4.2	4.1	3.7	3.9	4.0	4.5	3.8	3.6	6.0	6.0	8.3	 Index ---> 0.38
17	RV   	3.8	2.9	2.9	3.8	4.5	6.5	8.4	4.6	2.5	4.2	4.6	8.0	 Index ---> 0.62
18	RV   	5.4	5.0	6.8	5.6	4.1	7.7	9.6	7.9	3.9	5.6	5.9	10.5	 Index ---> 0.80
19	RV   	3.7	2.9	2.9	3.8	4.5	6.5	8.3	4.6	2.4	4.2	4.5	8.2	 Index ---> 0.61
20	MID  	6.2	6.0	10.2	4.9	6.3	5.5	8.9	6.8	2.1	7.3	12.7	19.1	 Index ---> 0.70
21	RV   	5.4	4.9	6.8	5.7	4.0	7.5	9.6	7.9	3.9	5.7	5.8	10.6	 Index ---> 0.82
22	RV   	5.3	3.1	4.2	3.6	2.6	3.5	3.7	4.1	2.9	3.6	7.4	11.9	 Index ---> 0.32
23	RV   	5.6	5.3	5.5	6.4	5.4	7.3	8.3	6.9	3.7	4.9	9.1	12.6	 Index ---> 0.45
24	RV   	5.2	3.1	4.2	3.6	2.6	3.6	3.9	4.0	2.9	3.7	7.5	11.8	 Index ---> 0.34
25	MID  	7.5	5.6	5.6	5.5	4.1	6.9	5.7	6.9	1.8	5.3	6.7	13.1	 Index ---> 0.54
26	MID  	2.8	2.1	5.4	4.8	4.9	4.2	5.1	5.9	1.6	5.8	8.3	11.6	 Index ---> 0.70
27	RV   	9.9	11.6	13.2	24.8	5.0	1.7	2.2	2.1	2.1	6.4	9.0	12.7	 Index ---> -0.58
28	RV   	6.3	4.1	4.9	4.8	3.3	3.6	5.0	4.8	1.8	3.9	5.7	8.4	 Index ---> 0.28
29	MID  	5.5	5.0	7.3	7.7	5.7	7.7	9.9	6.3	2.1	8.0	11.1	15.1	 Index ---> 0.97
30	SMALL	6.6	5.0	5.1	5.9	5.0	5.0	20.3	8.3	3.2	7.9	10.4	16.8	 Index ---> 2.74
31	RV   	10.9	10.1	10.6	12.8	12.8	19.2	13.1	3.7	4.1	6.7	9.2	13.1	 Index ---> -0.60

 ***** Prediction on test file ***** 
 *****        3st MODEL        ***** 
1	SMALL	2.0	3.1	2.2	2.2	3.2	3.1	3.8	3.8	0.6	3.8	4.6	7.8	 Index ---> -0.23
2	SMALL	3.9	2.9	6.2	4.2	4.2	6.0	5.1	5.1	6.8	4.6	5.7	11.9	 Index ---> -0.94
3	RV   	5.9	5.4	5.5	6.2	5.6	7.2	8.0	6.8	3.7	4.8	9.3	12.3	 Index ---> -0.98
4	SMALL	5.8	5.0	5.3	5.4	5.1	5.1	7.5	8.8	2.9	8.4	9.4	10.6	 Index ---> -1.00
