Car,Mp01,Mp02,Mp03,Mp04,Mp05,Mp06,Mp07,Mp08,Mp09,Mp10,Mp11,Mp12,BIW
Small,3253535.28,2663520.38,4512423.08,4418658.82,4495088.53,4660749.84,5426971.82,5572791.69,467628.59,4827959.71,6892405.94,12436916.73,3250000
Small,3212729.247,2661336.883,4492284.394,4331037.126,4451892.412,4685765.099,5421312.664,5485381.007,463670.6672,4851617.509,7053499.498,12339632.9,3232786.57
Small,3208673.82,2724215.747,4511051.5,4401936.035,4492110.197,4625840.687,5430595.497,5655585.911,465609.0754,4909963.879,6960461.166,12320159.47,3207877.68
Small,3308768.442,2652832.297,4451539.843,4503263.161,4420389.191,4659407.672,5357685.464,5647647.655,458316.6114,4775090.38,6880731.626,12417712.94,3306647.27
Small,3207698.497,2674041.067,4431314.845,4514684.945,4583543.607,4652527.341,5451539.114,5604899.457,467792.2903,4868877.061,6947539.771,12528050.54,3330351.22
Small,3311641.87,2690047.777,4407621.505,4452945.151,4527133.504,4747979.936,5539117.539,5519947.373,461523.9253,4870157.109,6724868.27,12421931.49,3255700.91
Small,3254783.838,2627942.121,4602003.436,4322863.672,4574458.528,4576453.147,5544171.566,5643903.726,457733.4895,4929480.962,6985884.451,12285463.09,3179515.48
Small,3216356.632,2645596.162,4597198.074,4521304.324,4426111.864,4586414.066,5437822.862,5625016.045,461240.7178,4820526.993,6885310.725,12283174.29,3191714.81
Small,3185898.747,2728016.187,4411222.167,4372606.479,4502865.554,4716904.307,5303214.157,5707023.322,466700.1546,4741371.554,6844593.501,12625352.54,3306030.82
Small,3181295.721,2719611.437,4407137.368,4451854.51,4465558.323,4719832.073,5538855.317,5596412.169,474403.1847,4944597.531,6872510.376,12514551.88,3238106.88
Small,3199674.196,2691735.743,4515410.089,4352418.835,4510326.35,4712780.656,5437118.461,5481065.07,460904.5003,4904832.118,6869005.644,12326373.7,3311828.92
Small,3272765.774,2689704.264,4545544.153,4364044.727,4575243.159,4646936.352,5303751.691,5703283.217,478067.5357,4856737.78,6986501.936,12703750.6,3227413.15
Small,3295171.518,2727350.196,4534617.91,4343615.571,4465325.394,4585566.893,5307738.551,5611245.724,456988.1563,4875475.843,6920797.955,12702347.56,3321929.69
Small,3215758.79,4211177.6,5310164.9,5888619.98,6104571.72,7855036.19,7182569.67,6705796.68,2417339.06,5017347.11,11078121.33,10823326.91,3260000
Small,3139556.338,4111866.546,5381449.813,5963832.321,6248570.748,7804144.226,7131183.507,6549822.07,2363279.344,4972785.396,11322052.96,10626286.2,3237050.75
Small,3141496.804,4143204.208,5228205.986,6017329.07,6154643.858,7754035.401,7202875.455,6568723.344,2435868.083,5132421.865,11313141.14,10853405.7,3265382.72
Small,3244898.877,4167658.699,5224774.595,5887780.875,6174953.962,7993262.97,7347916.838,6624832.429,2413806.726,4982628.927,11354326.24,10607868.49,3191318.66
Small,3258254.585,4225244.773,5192308.218,5886137.813,6171343.164,7955567.13,7123252.764,6807863.351,2358091.833,5132820.384,11104172.18,10711901.01,3330147.21
Small,3206294.895,4120276.934,5207220.766,5909212.732,5979802.993,7979859.196,7110793.379,6811694.553,2425012.694,4895244.062,11245180.6,10905794.02,3303553.86
Small,3213689.715,4264256.609,5257417.111,5834512.53,5992751.738,7735283.179,7177988.623,6669645.041,2380589.527,4928798.289,11201346.88,10951827.4,3275746.73
Small,3136583.76,4139936.796,5392525.503,6000341.458,5952947.832,7978546.373,7131458.875,6774635.849,2417542.572,4896400.074,10998696.72,10784366.35,3208080.71
Small,3286544.908,4114000.106,5414017.27,5804384.16,5953300.817,7969931.087,7361153.2,6562876.065,2423675.868,5100246.568,11253309.22,10930437.17,3274811.15
Small,3184790.343,4281750.813,5280783.236,5915366.549,6180824.214,7709812.444,7219152.792,6684329.092,2377521.201,5072142.901,11145712.41,10573325.92,3320557.66
Small,3165292.597,4183472.034,5359721.383,5998881.801,6209200.22,7951609.514,7056763.731,6666541.184,2370843.907,4893508.685,11198173.02,11052617.71,3255671.49
Small,3251311.879,4189164.191,5259049.091,5823450.35,6153731.202,7888514.997,7300795.297,6812694.651,2411491.569,4897689.403,10840913.34,11066228.06,3295838.7
Small,3276518.626,4239585.198,5182338.181,6018443.252,6161059.272,7928013.252,7103584.148,6683239.584,2459865.819,5090336.41,10806990.49,10979969.8,3201898.94
Small,6692859.75,4981609.31,5138182.83,5813324.2,5051530.8,5000527.95,20187704.74,8387803.99,3268560.5,7905117.59,10532919.24,17171691.51,4010000
Small,6805843.903,4901948.582,5091744.936,5758327.093,5024975.716,4934324.508,20573398.54,8280374.514,3334299.75,7711505.65,10467196.37,17205730.37,4091323.92
Small,6827355.672,5084070.053,5064466.056,5773645.672,5047708.531,4888000.083,20455072.09,8554413.132,3330672.048,8098238.493,10782577.98,17509319.82,3939270.24
Small,6857620.816,4967662.191,5114411.836,5751398.772,4961661.035,4876025.131,20509652.67,8372358.209,3299248.16,7772658.384,10382431.91,17262474.68,4058407.33
Small,6755233.455,4895297.155,5047923.6,5756211.612,5135033.975,5086855.033,19882610.97,8290305.115,3347367.435,7774567.857,10370723.47,17145047.89,4095510.8
Small,6678114.966,4985371.871,5065900.285,5945380.164,5039663.934,4989606.673,20280325.54,8455333.468,3219256.104,8067374.14,10626291.69,16943905.39,4060140.57
Small,6740172.389,5043782.399,5116997.176,5879474.856,5034721.763,4890488.632,19693165.29,8370974.412,3219390.511,7922151.962,10677022.22,17142316.97,3910146.83
Small,6654629.075,4952398.943,5073955.656,5929515.384,5034899.461,5065924.936,19994178.97,8297075.176,3310201.964,7826369.845,10316666.5,17041248.64,4019778.06
Small,6812405.995,5012428.434,5018927.097,5783033.449,5032044.283,4916120.928,19883030.53,8181579.968,3204412.113,7888519.886,10545359.73,17075982.35,3916967.89
Small,6635670.935,5014580.833,5129148.081,5924619.108,4976416.227,5028330.819,20268972.49,8281065.214,3235792.992,7862852.851,10378661.12,16821207.33,4090108.66
Small,6813677.272,5082662.998,5193499.574,5780571.327,4947160.029,5027267.08,20214735.61,8219411.313,3247458.785,7737950.212,10490506.47,17423645.85,4077386.25
Small,6816138.567,4896493.572,5201204.433,5798328.557,5004618.667,4968275.692,20464309.32,8547344.985,3259725.905,7815347.773,10335718.08,17523858.27,3975388.25
Small,6833576.103,4949092.07,5162087.451,5815051.139,5085433.817,5044991.789,19699629.14,8509388.252,3274910.438,8087632.507,10736303.48,16897305.46,3965582.28
