,,,,,,,,,,,,,,,,,,,,,,,,¨ç,,¨è,,¨é,,¨ê,,¨ë,,¨ì,,¨í,,¨î,,¨ï,,¨ð,,¨ñ,,¨ò,
,,Trimed Body,BIW,Trimed Body,BIW,MASS,MASS,A,A_Ang_X,A_Ang_Z,S1,S1_Ang_Y,S1_Ang_Z,S2,S2_Ang_Y,S2_Ang_Z,B,B_Ang_X,B_Ang_Y,R,R_Ang_X,R_Ang_Z,BU,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My
small,MD,4.51,3.25,5291,3821,1173.170732,1175.692308,519,25,8.4,545,7.2,3.3,718,7.4,2.4,314,20.6,10.2,591,2.7,5.4,151,3253535.3,1824926.3,2663520.4,1568718.1,4512423.1,2382973.7,4418658.8,2706182.5,4495088.5,2714154.2,4660749.8,2879874.7,5426971.8,3123003.2,5572791.7,3308878.7,467628.6,262206.6,4827959.7,2367402.2,6892405.9,3566341.4,12436916.7,6965738.2
,YD2DR,4.49,3.79,5112,4315,1138.530067,1138.522427,506,23.6,8.1,704,3.1,2.1,590,18.8,5.8,302,16.7,5.1,564,2.1,3.4,142,3115555.7,1658576,2657460.3,1518645.7,5359428.3,2966970.1,3905137.5,2368566,4297518.1,2737553.3,9984865.4,6624991.1,6016745,3630791.6,8707576,5160717.1,3138101.5,1925683,6107328.3,3994559.9,7072905.1,4856455.7,6704638.4,4301893.7
,YD,4.46,3.26,5401,3955,1210.986547,1213.190184,356,21.9,8.2,550,6.2,2.8,864,9.7,2.8,327,21.9,10.6,558,2.5,2.3,150,3215758.8,1651447.2,4211177.6,2276242.5,5310164.9,3151125.7,5888620,3593761.3,6104571.7,3800139,7855036.2,5076508.2,7182569.7,4129916.6,6705796.7,3717453.6,2417339.1,1462075,5017347.1,2692641.4,11078121.3,6681303.9,10823326.9,5354671.9
,UB5DR,5.64,4.01,5977,4244,1059.751773,1058.354115,300,24,8.5,581,7.6,3.5,509,4.9,0.5,320,20.9,7.8,565,2.8,4.6,172,6692859.8,3684833.6,4981609.3,2979540.6,5138182.8,3095539.1,5813324.2,3559526.1,5051530.8,3186986.8,5000528,3263815.2,20187704.7,10848075.5,8387804,4975259.1,3268560.5,2094436.5,7905117.6,5000991,10532919.2,7095392.1,17171691.5,10052052.5
,UB,5.4,3.8,5866,4122,1086.296296,1084.736842,301,24.1,8.5,581,7.6,3.5,753,7,1,322,20.8,7.7,558,2.8,4.5,170,5678896.9,3091803.1,4992291.5,2990628.3,5242966.6,3216537,5323654.9,3462540.5,5077950.3,3222814,5195676.3,3421961.3,7380836,4372945.7,8607638.6,5158214,2891243,1682400,8625217.9,5708696.8,9322299,6342242.3,10619253.3,6829717.5
,GD,4.59,3.56,5231,4059,1139.651416,1140.168539,501,26.7,9.9,540,8.4,4.2,585,5.3,1.9,338,22.2,9.9,563,2.4,3.7,148,3863586.4,2127052,2901489.6,1746894.4,6258611.5,3700438.1,4214882.1,2559923.8,4097814.3,2407130.3,5919523.5,3050153.2,5223878.2,3097215.3,5038267.4,3042657.6,6684784.3,3869068.7,4558094,2859317.2,5646763,2823378.2,11849812.4,6886099.3
,RBK,4.88,3.36,5198,3584,1065.163934,1066.666667,535,29.6,10.6,517,7.3,3.5,668,8.4,3,341,21.3,8.3,549,1.3,6.8,156,2196816.9,1280889.1,2603498.5,1402736.6,2092634.5,1272086.1,2012510.8,1261760.8,2080135.6,1353684.5,3349092,2010864,5482362.7,3151476.4,2410806.5,1482608.5,693951.8,437805.3,5220879.8,3179876.6,6867320.7,3679425.4,11530624.2,6384369.3
,RB5DR,4.69,3.58,4724,3603,1007.249467,1006.424581,537,29,10.5,507,7.5,3.6,631,3.8,0.9,343,21.3,8.2,549,1.2,6.8,160,2010764.8,1172586,3021622.1,1735835.7,2223068.6,1332940.3,2144540.9,1314325.9,3217963,1921362.4,3072400.8,1813510.6,3849150.8,2223029.7,3684772.1,2193090.8,610413.9,381825.6,3747190.6,2218058.1,4617433.1,2510053.2,7747007.7,4294954.9
mid,YF,3.34,2.02,4510,2723,1350.299401,1348.019802,472,27.4,11,583,8.5,4.9,681,7.8,3.2,319,25.5,11,601,2.6,6.2,149,2852525.4,1643088.1,2151237.9,1341551.6,5370902.5,3266922.7,4812074.4,2880381.7,5016213.5,2641861.5,4077598.6,2327675.8,4993590.6,3071038.1,5813908.4,3667149.9,1601625.4,1033866.9,5739021.1,3815780.8,8394779,5021358.6,11501169.7,6547451.4
