Vehicle,A,A_Ang_X,A_Ang_Z,S1,S1_Ang_Y,S1_Ang_Z,S2,S2_Ang_Y,S2_Ang_Z,B,B_Ang_X,B_Ang_Y,R,R_Ang_X,R_Ang_Z,BU,Mp01,Mp02,Mp03,Mp04,Mp05,Mp06,Mp07,Mp08,Mp09,Mp10,Mp11,Mp12,BIW_mass_swr,mass
Small,519,25,8.4,545,7.2,3.3,718,7.4,2.4,314,20.6,10.2,591,2.7,5.4,151,3.2535353,2.6635204,4.5124231,4.4186588,4.4950885,4.6607498,5.4269718,5.5727917,0.4676286,4.8279597,6.8924059,12.4369167,3821,1175.692308
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,506,23.6,8.1,704,3.1,2.1,590,18.8,5.8,302,16.7,5.1,564,2.1,3.4,142,3.1155557,2.6574603,5.3594283,3.9051375,4.2975181,9.9848654,6.016745,8.707576,3.1381015,6.1073283,7.0729051,6.7046384,4315,1138.522427
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
