Vehicle,A,A_Ang_X,A_Ang_Z,S1,S1_Ang_Y,S1_Ang_Z,S2,S2_Ang_Y,S2_Ang_Z,B,B_Ang_X,B_Ang_Y,R,R_Ang_X,R_Ang_Z,BU,Mp01,Mp02,Mp03,Mp04,Mp05,Mp06,Mp07,Mp08,Mp09,Mp10,Mp11,Mp12,BIW_mass_swr
Mid,508.416,28.99826,10.90116,507.807,7.26336,3.80532,686.4394,4.921,0.78976,318.144,24.03862,12.99936,587.699,1.7068,9.98688,171.1916,2.219762381,1.816114139,4.186326901,3.474340709,3.37119076,3.374424106,5.954015282,3.93352884,1.5058165,7.320527289,7.689497497,9.671894568,3888.255
RV,464.6952,31.40874,11.0198,520.6465,8.26724,3.94056,869.391,4.06802,0.09828,318.144,20.31912,8.9388,574.2033,0.4973,9.50208,166.2151,6.226098275,4.34915988,4.701755951,5.142762352,3.339585779,3.555041074,5.237043315,4.948433381,1.833324501,4.039873955,5.822270391,8.557526694,4229.766
Small,530.0245,29.54672,10.72932,517.8272,7.39782,3.4671,674.0788,8.53104,3.0042,340.4544,21.41928,8.43114,547.0236,1.27998,6.86528,156.5928,2.199013717,2.498056811,2.009975437,2.048735994,2.107177363,3.349092,5.309668275,2.404779484,0.690135065,5.163450122,6.596061532,12.0091451,3709.44
RV,509.5926,31.28048,11.0682,479.9508,7.3605,3.35104,623.4784,0.5032,0.60444,351.7344,19.7067,8.29248,555.7827,0.693,7.5015,175.21,5.575079084,5.379415405,5.679606118,6.332696763,5.545028263,7.053584731,8.19350026,6.842636088,3.586318184,5.062267323,9.222990518,11.83954195,6098.2695
Mid,467.516,27.60276,11.1606,581.251,8.6003,4.82062,675.3477,7.86708,3.21792,316.9903,25.1379,11.099,599.3773,2.6416,6.32028,149.9983,2.918133484,2.207170085,5.574996795,4.852977032,4.855694668,4.036822614,5.230786154,5.834257079,1.563987203,5.710325995,8.579464138,11.62768257,2803.3285
Small,532.5429,28.5824,10.3845,504.5664,7.5705,3.58056,636.048,3.7544,0.88344,340.3589,21.22332,8.18524,546.5844,1.18656,6.936,158.928,1.925307296,2.988384257,2.148595802,2.163841768,3.086026517,3.206050235,3.82413132,3.767679472,0.631167973,3.709718694,4.702855612,7.99878545,3590.3895
Mid,550.7502,26.75236,10.59136,521.1608,9.5399,5.77448,554.5264,5.78554,2.33404,356.1075,24.38832,12.27848,601.2387,2.4575,4.37184,169.68,4.135929881,4.026039769,7.176376339,6.048888963,6.615586178,5.683194415,6.923628806,8.095584872,7.023703169,9.664863775,11.27643503,14.7401412,5261.256
Mid,511.7952,28.96358,10.71498,512.448,7.2792,3.85396,684.1591,4.936,0.80272,320.16,23.61798,13.20528,586.873,1.67824,10.24746,172.2064,2.175323778,1.82567721,4.237903823,3.313552995,3.29801247,3.354805361,6.48518262,4.22094744,1.6484728,7.373370363,7.76856688,9.706226851,4071.795
Mid,514.2016,28.82486,10.84766,511.785,7.22448,3.75896,688.0287,5.043,0.79376,320.224,24.28718,12.98352,591.947,1.71496,9.898,173.6856,2.212175302,1.767429413,4.220711516,3.406378892,3.461000479,3.294314231,6.074454387,4.0443903,1.579522255,6.940057151,7.725078719,10.1819742,4139.625
Mid,514.7814,33.41336,12.84582,535.1605,9.39858,5.027,950.3816,11.3022,4.378,373,23.11452,11.0052,608.4338,1.68742,7.31022,145.8394,3.666782906,4.357879952,4.130643288,3.74790829,4.150657881,4.248678892,4.281997928,3.768632087,3.689211547,6.007880254,6.007673518,8.44922327,4251.247
RV,488.579,35.1693,12.63312,525.283,8.84964,3.5748,624.3014,0.90954,0.20264,389.9336,21.58272,9.2274,594.5674,1.79676,5.27456,150.8296,5.027146593,3.168159384,4.098248822,3.6726382,2.664066868,3.416673913,3.641493896,4.028677613,2.796667021,3.732539572,7.56245437,11.62351728,2851.185
Small,358.1716,22.12776,8.323,554.29,6.262,2.80616,870.9984,9.73492,2.78544,326.4114,22.2066,10.6742,552.6432,2.4535,2.30874,148.95,3.130541192,4.204860834,5.416368198,5.61774348,6.022159982,8.145672539,6.841397639,6.779560464,2.453599187,5.004803732,11.42708212,10.83415023,4097.38
Small,301.65,24.2832,8.4847,578.3274,7.66992,3.5616,510.6288,4.90882,0.4945,319.904,21.05884,7.8078,559.576,2.82744,4.69108,171.742,6.461956137,4.919339184,5.392522849,5.891804077,5.187922132,4.978025624,19.75366905,8.266180842,3.311051787,7.695631984,11.02269994,17.3777518,4269.464
RV,468.9747,34.5161,12.84586,494.3458,9.3624,3.70962,823.5888,0.19912,0.202,471.1413,20.1798,4.02128,567.207,2.32208,4.9196,170.2476,5.71963201,6.245979339,6.285433084,7.783388844,7.281241654,13.42874907,14.52970953,3.324406848,2.713850147,3.966930856,4.153967152,9.993417201,2901.808
Mid,476.484,27.16436,10.7954,580.7263,8.5085,4.91372,676.914,7.87332,3.15776,319.9889,25.8774,10.901,595.7112,2.56776,6.17768,149.7003,2.796901155,2.123271807,5.115784631,4.840946846,5.126570197,4.206042956,4.976113033,5.927279614,1.571194517,5.84519299,8.81451795,11.30564982,2801.967
Mid,508.1815,30.10332,11.94512,544.482,9.23128,5.65488,940.1531,9.854,3.4612,345.39,25.3266,13.6178,609.0906,1.326,7.9237,150.7688,0.56186177,0.461111002,0.407949309,6.840983174,6.698576052,6.042126722,4.556367682,5.443279728,1.802746325,3.956970991,6.183270815,7.987863868,5162.3545
Mid,512.2264,33.49352,12.67296,539.0125,9.3651,4.969,943.6224,11.4379,4.33312,375.1634,23.5872,10.60128,613.5662,1.70068,7.25766,147.4454,3.862917498,4.141592053,3.993827047,3.839858935,4.208863431,4.042117764,4.297361324,3.58384032,3.747654502,5.97514787,5.872807378,8.309226394,4359.5455
