Car,Mp01,Mp02,Mp03,Mp04,Mp05,Mp06,Mp07,Mp08,Mp09,Mp10,Mp11,Mp12,
RV,5204085.51,3046307.09,4137555.63,3634476.16,2613111.16,3527799.61,3791248.23,4115094.62,2923854.67,3657559.63,7443360.64,11903243.45,1780000
RV,5319465.148,3104396.158,4069572.712,3582764.343,2619952.289,3585177.87,3696631.325,4170489.833,2964510.039,3693939.03,7383457.476,11731984.88,1818173.27
RV,5086564.978,3057790.433,4130634.422,3582609.694,2632366.048,3531509.223,3819538.267,4049827.162,2986537.577,3675721.07,7303946.116,12134496.11,1806542.24
RV,5109391.893,2985424.476,4194631.6,3712966.919,2636626.98,3547838.519,3717904.379,4177336.265,2959013.882,3591205.155,7422790.365,11803292.25,1764787.27
RV,5179154.005,2974750.897,4151368.043,3713909.233,2646241.704,3571313.497,3785201.524,4197426.551,2936207.392,3729978.583,7324055.346,12163679.93,1763471.35
RV,5189358.32,3116740.879,4165368.362,3555269.607,2577216.74,3571423.431,3864235.121,4022710.131,2877426.725,3668170.634,7544219.385,11849471.84,1768351.62
RV,5087606.537,2982059.67,4047687.54,3589191.009,2611375.743,3458698.127,3708337.058,4016566.738,2907113.124,3600097.26,7575958.446,12104618.44,1779953.72
RV,5088128.484,3093786.447,4152978.946,3549925.879,2554648.428,3575503.22,3791200.783,4063179.273,2931834.909,3615603.018,7485362.914,11840174.98,1741032.43
RV,5138071.132,3104408.001,4176097.924,3654911.024,2650263.773,3519414.111,3820422.04,4013836.855,2889261.059,3664254.984,7411134.721,12046951.92,1802032.9
RV,5231095.603,3018205.452,4123956.203,3685851.677,2603921.255,3511167.19,3777767.483,4206785.274,2862959.622,3568853.352,7402868.86,11897575.38,1819446.04
RV,5228456.968,3114466.019,4134127.414,3575557.056,2550772.362,3472098.249,3761336.61,4094290.453,2933433.942,3588958.416,7272694.464,11819149.18,1799582.47
RV,5266960.521,3104125.035,4207974.46,3587574.242,2637516.488,3544772.047,3703048.328,4143997.535,2937599.769,3584587.212,7429414.741,11925223.32,1757782.41
RV,5074712.509,3067858.136,4223351.09,3691172.519,2647653.529,3614924.74,3724170.658,4155358.198,2884837.744,3604081.355,7482415.827,11817085.82,1796110.74
Mid,3735896.96,4282928.73,4024007.09,3678025.81,4014175.92,4050218.24,4389541.72,3733166.98,3652684.73,5951342.49,6130279.05,8235110.36,2520000
Mid,3717085.759,4227772.685,4068435.744,3655045.378,3923357.119,4007733.03,4477504.868,3755588.632,3584486.787,5988919.236,6046193.776,8318076.719,2522957.18
Mid,3684966.531,4197813.091,4090985.894,3698262.978,3959075.096,4000683.615,4378463.951,3774314.079,3622234.087,5904362.011,6166395.895,8341640.016,2496913.96
Mid,3675246.431,4363410.088,3998190.719,3750017.192,3969771.707,3989592.213,4304458.623,3742115.287,3672543.714,6078893.933,6162467.389,8329933.353,2540086.06
Mid,3777722.192,4253354.424,4067977.118,3675217.07,4072817.503,4068177.655,4328525.068,3666812.793,3576914.396,6098043.73,6075488.941,8432682.905,2493925.7
Mid,3678446.153,4177344.621,4002663.101,3651671.647,3921408.451,4050221.387,4365483.457,3698005.759,3634977.554,5804743.549,6037153.853,8321648.259,2516601.11
Mid,3827873.758,4191632.984,4089040.28,3600063.232,4023157.616,4102931.969,4335770.37,3764091.769,3582277.42,5861452.73,6269062.478,8272772.723,2497287.35
Mid,3786661.088,4306845.057,4104770.448,3649764.457,4022500.093,4016835.761,4444357.563,3730388.6,3661941.76,6060305.665,6177477.261,8345027.965,2515293.05
Mid,3791274.375,4308250.095,4058589.052,3602526.244,4053480.067,4087545.3,4451719.308,3746078.093,3686240.23,6061510.613,6240128.336,8294895.99,2459228.74
