Car,Mp01,Mp02,Mp03,Mp04,Mp05,Mp06,Mp07,Mp08,Mp09,Mp10,Mp11,Mp12,
Small,2.012859116,3.084932557,2.196352848,2.162338396,3.168742287,3.099586713,3.777018114,3.762362586,0.621445274,3.811063102,4.565781355,7.790218475,3.57188991
Small,3.94001797,2.934423686,6.248840871,4.175871656,4.188812149,6.011404014,5.10542524,5.11013377,6.778037216,4.571657972,5.692266133,11.93996753,3.55172706
RV,5.906441058,5.405754367,5.456948248,6.245687868,5.580468867,7.190936545,8.010739091,6.846638011,3.674193425,4.80078464,9.274752289,12.29226623,3.81632293
Small,5.759732248,4.970225464,5.257472218,5.373525545,5.071180785,5.074224066,7.472742309,8.803391371,2.867782455,8.446921282,9.422333411,10.55610667,3.83155438
RV,11.07765882,10.05951396,10.53558086,12.74995845,12.64705666,19.09896992,12.8272372,3.668377325,4.093109572,6.729712491,9.145222792,13.2171398,3.72547463
Mid,2.781326108,2.176394989,5.353106456,4.720882289,5.080661823,4.076376035,4.944835818,5.833656328,1.595568901,5.704452611,8.413143886,11.54188132,1.99579472
Mid,21.79437347,8.40930768,10.11956482,10.89664895,6.294630702,6.286012148,8.052065351,8.121732609,2.000042368,11.18187402,12.29737703,24.35852955,3.72611184
Small,3.254783838,2.627942121,4.602003436,4.322863672,4.574458528,4.576453147,5.544171566,5.643903726,0.45773349,4.929480962,6.985884451,12.28546309,3.17951548
RV,5.087606537,2.98205967,4.04768754,3.589191009,2.611375743,3.458698127,3.708337058,4.016566738,2.907113124,3.60009726,7.575958446,12.10461844,1.77995372
RV,5.42438662,4.658508261,4.686631406,4.094652837,4.569946408,6.569476684,5.014977806,5.812892063,6.419327518,6.214711281,7.673286513,13.21068047,3.93434605
RV,10.92098952,9.889835803,10.71191028,12.98273773,12.49618818,19.52910467,12.87219225,3.763493199,4.213172532,6.633995,9.055254524,13.12573842,3.69647518
RV,5.295101815,4.909349048,6.709651611,5.580826589,4.178239629,7.795462184,9.439321909,7.962628952,3.834103583,5.667455458,5.887689563,10.24195916,4.67374184
Mid,4.27707328,3.87678363,7.0877791,5.8584881,6.94549734,5.57722711,7.00063581,7.91357267,7.00618767,10.0518604,11.42495947,14.05161215,3.38
Small,3.207698497,2.674041067,4.431314845,4.514684945,4.583543607,4.652527341,5.451539114,5.604899457,0.46779229,4.868877061,6.947539771,12.52805054,3.33035122
RV,5.706704607,6.0351994,6.446940856,8.005322543,7.584665874,13.12350955,14.07055734,3.423600758,2.655832378,3.812709648,4.189858339,9.76486555,1.62698418
Mid,3.717085759,4.227772685,4.068435744,3.655045378,3.923357119,4.00773303,4.477504868,3.755588632,3.584486787,5.988919236,6.046193776,8.318076719,2.52295718
RV,3.790291484,2.886659196,2.943203343,3.753283258,4.502420954,6.498700763,8.405499842,4.552837568,2.479017719,4.172732831,4.56928169,8.012220764,2.83392974
RV,5.35067542,4.95501682,6.8335089,5.57905415,4.13649513,7.6800869,9.58675839,7.87552853,3.92589584,5.61761571,5.91004458,10.50091845,4.69
RV,3.690313066,2.898338377,2.91236764,3.842677201,4.541870481,6.489952344,8.323619619,4.611058779,2.424027274,4.195136941,4.514636511,8.19011083,2.86207061
Mid,6.190789843,6.039236193,10.22004013,4.934636197,6.299230065,5.505245525,8.895940182,6.803219065,2.136199284,7.268498853,12.72775716,19.0731786,3.73716594
RV,5.410061072,4.854923977,6.799350628,5.693639717,4.035617424,7.546207374,9.58687898,7.949348293,3.917780169,5.72418087,5.840877098,10.62192825,4.67020654
RV,5.266960521,3.104125035,4.20797446,3.587574242,2.637516488,3.544772047,3.703048328,4.143997535,2.937599769,3.584587212,7.429414741,11.92522332,1.75778241
RV,5.641446325,5.343260324,5.533810795,6.363924308,5.442848884,7.253576282,8.349241253,6.862607948,3.715324122,4.927328374,9.106361907,12.57985265,3.85248233
RV,5.18935832,3.116740879,4.165368362,3.555269607,2.57721674,3.571423431,3.864235121,4.022710131,2.877426725,3.668170634,7.544219385,11.84947184,1.76835162
Mid,7.481599785,5.596117729,5.60251235,5.530882194,4.05422973,6.889773385,5.65417367,6.872318554,1.78558914,5.300721835,6.691690591,13.07467572,1.85383137
Mid,2.799527913,2.097487907,5.385505906,4.772860549,4.893350641,4.166218684,5.107606388,5.928158683,1.614583924,5.802651752,8.259190135,11.61992585,2.06093705
RV,9.911354608,11.58386924,13.24648392,24.78435207,4.980669887,1.696854713,2.207742654,2.083445814,2.079887951,6.388807804,8.969898325,12.73162341,3.19597027
RV,6.293188269,4.124539995,4.859800554,4.847744872,3.252133817,3.591599312,4.978510222,4.819668046,1.834352854,3.850017936,5.686402241,8.392036843,2.99140001
Mid,5.5456846,5.03380998,7.26681926,7.7187134,5.675311,7.68896411,9.86149702,6.25404508,2.0740313,8.00198739,11.06215721,15.06934086,3.29
Small,6.635670935,5.014580833,5.129148081,5.924619108,4.976416227,5.028330819,20.26897249,8.281065214,3.235792992,7.862852851,10.37866112,16.82120733,4.09010866
RV,10.91864235,10.07675591,10.55938302,12.81430349,12.7803901,19.2413756,13.14041176,3.7309854,4.13413421,6.7353761,9.2126976,13.1033702,3.79
